Timestamp,User_ID,Sensitivity,Action,Status,,,
01/06/2010 08:06,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 08:44,CWG3213,Yes,Create,Yes,1,0,1
01/06/2010 08:44,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 10:21,CWG3213,No,Modify,Yes,0,2,1
01/06/2010 10:22,CWG3213,Yes,Create,Yes,1,0,1
01/06/2010 10:23,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 10:23,CWG3213,Yes,Modify,Yes,1,2,1
01/06/2010 10:24,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 10:25,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 10:25,CWG3213,No,Modify,Yes,0,2,1
01/06/2010 10:26,CWG3213,No,Modify,Yes,0,2,1
01/06/2010 10:28,CWG3213,No,Read,Yes,0,1,1
01/06/2010 10:29,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 10:29,CWG3213,Yes,Modify,Yes,1,2,1
01/06/2010 10:30,CWG3213,No,Read,Yes,0,1,1
01/06/2010 10:42,CWG3213,Yes,Create,Yes,1,0,1
01/06/2010 12:04,CWG3213,No,Read,Yes,0,1,1
01/06/2010 12:27,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 12:29,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 12:34,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 13:29,CWG3213,No,Read,Yes,0,1,1
01/06/2010 15:58,CWG3213,Yes,Modify,Yes,1,2,1
01/06/2010 15:59,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 16:00,CWG3213,No,Read,Yes,0,1,1
01/06/2010 17:29,CWG3213,No,Delete,Yes,0,3,1
01/06/2010 17:30,CWG3213,Yes,Create,Yes,1,0,1
01/07/2010 11:19,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 11:25,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 11:28,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 13:00,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 13:07,CWG3213,No,Read,Yes,0,1,1
01/07/2010 13:10,CWG3213,No,Read,Yes,0,1,1
01/07/2010 13:49,CWG3213,Yes,Create,Yes,1,0,1
01/07/2010 14:02,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 14:12,CWG3213,No,Delete,Yes,0,3,1
01/07/2010 14:50,CWG3213,No,Delete,Yes,0,3,1
01/07/2010 14:51,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 15:46,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 15:56,CWG3213,No,Delete,Yes,0,3,1
01/07/2010 16:08,CWG3213,Yes,Create,Yes,1,0,1
01/07/2010 18:26,CWG3213,Yes,Create,Yes,1,0,1
01/07/2010 18:28,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 18:29,CWG3213,Yes,Modify,Yes,1,2,1
01/07/2010 18:29,CWG3213,Yes,Modify,Yes,1,2,1
01/07/2010 18:31,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 18:35,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 18:37,CWG3213,No,Modify,Yes,0,2,1
01/07/2010 18:41,CWG3213,Yes,Modify,Yes,1,2,1
01/07/2010 18:42,CWG3213,Yes,Modify,Yes,1,2,1
01/07/2010 18:46,CWG3213,No,Read,Yes,0,1,1
01/08/2010 08:33,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 08:39,CWG3213,Yes,Modify,Yes,1,2,1
01/08/2010 08:40,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 10:50,CWG3213,Yes,Create,Yes,1,0,1
01/08/2010 11:01,CWG3213,No,Delete,Yes,0,3,1
01/08/2010 11:05,CWG3213,No,Read,Yes,0,1,1
01/08/2010 11:06,CWG3213,No,Delete,Yes,0,3,1
01/08/2010 11:16,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 11:46,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 12:23,CWG3213,Yes,Create,Yes,1,0,1
01/08/2010 12:26,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 12:40,CWG3213,Yes,Create,Yes,1,0,1
01/08/2010 12:43,CWG3213,No,Read,Yes,0,1,1
01/08/2010 13:05,CWG3213,No,Delete,Yes,0,3,1
01/08/2010 13:06,CWG3213,Yes,Create,Yes,1,0,1
01/08/2010 13:54,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 13:54,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 13:54,CWG3213,Yes,Modify,Yes,1,2,1
01/08/2010 15:32,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 15:37,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 15:40,CWG3213,Yes,Create,Yes,1,0,1
01/08/2010 15:46,CWG3213,No,Modify,Yes,0,2,1
01/08/2010 16:50,CWG3213,Yes,Create,Yes,1,0,1
01/10/2010 08:23,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 09:00,CWG3213,Yes,Create,Yes,1,0,1
01/10/2010 09:08,CWG3213,Yes,Create,Yes,1,0,1
01/10/2010 09:13,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 09:27,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 09:50,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 10:41,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 12:04,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 12:04,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 12:04,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 12:05,CWG3213,No,Read,Yes,0,1,1
01/10/2010 12:05,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 12:05,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 12:36,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 12:36,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 12:37,CWG3213,Yes,Modify,Yes,1,2,1
01/10/2010 14:04,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 14:06,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 14:14,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 16:16,CWG3213,No,Read,Yes,0,1,1
01/10/2010 16:20,CWG3213,Yes,Create,Yes,1,0,1
01/10/2010 16:22,CWG3213,Yes,Create,Yes,1,0,1
01/10/2010 16:29,CWG3213,No,Modify,Yes,0,2,1
01/10/2010 16:49,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 17:54,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 17:58,CWG3213,No,Delete,Yes,0,3,1
01/10/2010 18:05,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 08:25,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 08:26,CWG3213,No,Read,Yes,0,1,1
01/11/2010 08:26,CWG3213,No,Modify,Yes,0,2,1
01/11/2010 08:26,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 08:26,CWG3213,No,Delete,Yes,0,3,1
01/11/2010 08:26,CWG3213,Yes,Create,Yes,1,0,1
01/11/2010 08:28,CWG3213,No,Delete,Yes,0,3,1
01/11/2010 08:28,CWG3213,Yes,Create,Yes,1,0,1
01/11/2010 09:54,CWG3213,No,Modify,Yes,0,2,1
01/11/2010 10:11,CWG3213,No,Read,Yes,0,1,1
01/11/2010 10:12,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 10:35,CWG3213,No,Read,Yes,0,1,1
01/11/2010 11:14,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 11:57,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 12:00,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 12:01,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 13:37,CWG3213,No,Read,Yes,0,1,1
01/11/2010 13:40,CWG3213,No,Modify,Yes,0,2,1
01/11/2010 14:58,CWG3213,No,Delete,Yes,0,3,1
01/11/2010 15:01,CWG3213,Yes,Create,Yes,1,0,1
01/11/2010 16:04,CWG3213,Yes,Create,Yes,1,0,1
01/11/2010 16:40,CWG3213,Yes,Modify,Yes,1,2,1
01/11/2010 16:43,CWG3213,No,Read,Yes,0,1,1
01/11/2010 18:18,CWG3213,No,Read,Yes,0,1,1
01/11/2010 18:53,CWG3213,No,Modify,Yes,0,2,1
01/11/2010 18:55,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 08:12,CWG3213,No,Read,Yes,0,1,1
01/12/2010 08:18,CWG3213,No,Delete,Yes,0,3,1
01/12/2010 08:19,CWG3213,No,Read,Yes,0,1,1
01/12/2010 08:19,CWG3213,Yes,Create,Yes,1,0,1
01/12/2010 08:23,CWG3213,Yes,Create,Yes,1,0,1
01/12/2010 08:44,CWG3213,No,Delete,Yes,0,3,1
01/12/2010 08:49,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 09:10,CWG3213,No,Read,Yes,0,1,1
01/12/2010 09:11,CWG3213,No,Read,Yes,0,1,1
01/12/2010 09:14,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 09:16,CWG3213,No,Modify,Yes,0,2,1
01/12/2010 09:29,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 09:30,CWG3213,No,Read,Yes,0,1,1
01/12/2010 09:52,CWG3213,No,Read,Yes,0,1,1
01/12/2010 09:54,CWG3213,No,Read,Yes,0,1,1
01/12/2010 10:31,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 10:47,CWG3213,Yes,Create,Yes,1,0,1
01/12/2010 10:57,CWG3213,No,Delete,Yes,0,3,1
01/12/2010 11:00,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 11:46,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 11:46,CWG3213,No,Read,Yes,0,1,1
01/12/2010 11:57,CWG3213,Yes,Modify,Yes,1,2,1
01/12/2010 12:01,CWG3213,Yes,Create,Yes,1,0,1
01/12/2010 12:01,CWG3213,No,Delete,Yes,0,3,1
01/13/2010 10:06:07,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:35:21,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:36:41,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:44:35,CWG3213,Yes,Create,Yes,1,0,1
01/13/2010 10:45:07,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:45:19,CWG3213,Yes,Modify,Yes,1,2,1
01/13/2010 10:49:44,CWG3213,No,Modify,Yes,0,2,1
01/13/2010 10:52:34,CWG3213,Yes,Modify,Yes,1,2,1
01/13/2010 10:52:44,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:52:54,CWG3213,No,Read,Yes,0,1,1
01/13/2010 10:57:12,CWG3213,No,Delete,Yes,0,3,1
01/13/2010 11:35:45,CWG3213,No,Read,Yes,0,1,1
01/13/2010 11:43:05,CWG3213,No,Read,Yes,0,1,1
01/13/2010 12:29:05,CWG3213,No,Modify,Yes,0,2,1
01/13/2010 13:07:17,CWG3213,No,Read,Yes,0,1,1
01/13/2010 13:08:13,CWG3213,No,Delete,Yes,0,3,1
01/13/2010 14:28:50,CWG3213,No,Delete,Yes,0,3,1
01/13/2010 14:43:34,CWG3213,Yes,Create,Yes,1,0,1
01/13/2010 15:23:22,CWG3213,Yes,Create,Yes,1,0,1
01/13/2010 15:30:49,CWG3213,Yes,Modify,Yes,1,2,1
01/13/2010 16:56:56,CWG3213,No,Modify,Yes,0,2,1
01/13/2010 16:59:11,CWG3213,Yes,Modify,Yes,1,2,1
01/13/2010 16:59:16,CWG3213,Yes,Create,Yes,1,0,1
01/14/2010 09:31:52,CWG3213,Yes,Modify,Yes,1,2,1
01/14/2010 09:37:09,CWG3213,No,Delete,Yes,0,3,1
01/14/2010 09:40:37,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 09:42:16,CWG3213,No,Delete,Yes,0,3,1
01/14/2010 09:55:45,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 09:56:17,CWG3213,Yes,Modify,Yes,1,2,1
01/14/2010 10:09:42,CWG3213,No,Read,Yes,0,1,1
01/14/2010 11:28:58,CWG3213,No,Read,Yes,0,1,1
01/14/2010 11:32:35,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 11:38:13,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 11:42:33,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 11:46:39,CWG3213,No,Delete,Yes,0,3,1
01/14/2010 11:56:38,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 14:05:22,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 14:07:55,CWG3213,Yes,Modify,Yes,1,2,1
01/14/2010 15:07:29,CWG3213,Yes,Create,Yes,1,0,1
01/14/2010 15:08:54,CWG3213,Yes,Modify,Yes,1,2,1
01/14/2010 15:11:21,CWG3213,No,Delete,Yes,0,3,1
01/14/2010 15:11:36,CWG3213,No,Read,Yes,0,1,1
01/14/2010 15:21:30,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 17:35:08,CWG3213,No,Delete,Yes,0,3,1
01/14/2010 17:35:55,CWG3213,No,Modify,Yes,0,2,1
01/14/2010 17:36:52,CWG3213,Yes,Modify,Yes,1,2,1
01/14/2010 18:06:56,CWG3213,No,Modify,Yes,0,2,1
01/15/2010 08:13:50,CWG3213,No,Modify,Yes,0,2,1
01/15/2010 08:34:42,CWG3213,No,Read,Yes,0,1,1
01/15/2010 08:43:36,CWG3213,No,Read,Yes,0,1,1
01/15/2010 09:41:03,CWG3213,No,Read,Yes,0,1,1
01/15/2010 09:41:05,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 09:55:08,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 12:54:32,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 12:54:51,CWG3213,Yes,Create,Yes,1,0,1
01/15/2010 12:55:24,CWG3213,No,Read,Yes,0,1,1
01/15/2010 12:55:33,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 12:55:37,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 12:56:03,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 12:56:30,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 12:56:54,CWG3213,No,Read,Yes,0,1,1
01/15/2010 12:57:26,CWG3213,Yes,Create,Yes,1,0,1
01/15/2010 12:57:33,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 13:25:11,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 13:27:46,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 15:22:07,CWG3213,No,Read,Yes,0,1,1
01/15/2010 15:24:58,CWG3213,No,Modify,Yes,0,2,1
01/15/2010 15:25:04,CWG3213,Yes,Create,Yes,1,0,1
01/15/2010 16:31:04,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 16:31:49,CWG3213,No,Read,Yes,0,1,1
01/15/2010 16:35:17,CWG3213,No,Delete,Yes,0,3,1
01/15/2010 16:41:28,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 18:08:09,CWG3213,Yes,Modify,Yes,1,2,1
01/15/2010 18:15:40,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 08:52:55,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 09:32:26,CWG3213,No,Read,Yes,0,1,1
01/16/2010 09:32:26,CWG3213,No,Read,Yes,0,1,1
01/16/2010 10:04:29,CWG3213,No,Modify,Yes,0,2,1
01/16/2010 10:04:34,CWG3213,No,Delete,Yes,0,3,1
01/16/2010 10:04:38,CWG3213,No,Read,Yes,0,1,1
01/16/2010 10:05:00,CWG3213,No,Modify,Yes,0,2,1
01/16/2010 10:05:24,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 10:05:32,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 10:05:37,CWG3213,No,Modify,Yes,0,2,1
01/16/2010 12:02:06,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 12:18:18,CWG3213,No,Delete,Yes,0,3,1
01/16/2010 12:19:14,CWG3213,No,Read,Yes,0,1,1
01/16/2010 12:48:41,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 12:49:35,CWG3213,No,Read,Yes,0,1,1
01/16/2010 12:53:11,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 15:47:44,CWG3213,No,Modify,Yes,0,2,1
01/16/2010 15:49:09,CWG3213,No,Delete,Yes,0,3,1
01/16/2010 16:38:06,CWG3213,Yes,Modify,Yes,1,2,1
01/16/2010 16:41:55,CWG3213,No,Modify,Yes,0,2,1
01/16/2010 17:57:05,CWG3213,No,Delete,Yes,0,3,1
01/16/2010 18:00:11,CWG3213,No,Delete,Yes,0,3,1
01/16/2010 18:02:09,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 11:54:10,CWG3213,No,Read,Yes,0,1,1
01/18/2010 11:56:30,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 12:05:08,CWG3213,No,Delete,Yes,0,3,1
01/18/2010 12:05:53,CWG3213,Yes,Create,Yes,1,0,1
01/18/2010 12:09:11,CWG3213,Yes,Create,Yes,1,0,1
01/18/2010 12:23:37,CWG3213,No,Delete,Yes,0,3,1
01/18/2010 12:23:59,CWG3213,No,Read,Yes,0,1,1
01/18/2010 12:28:47,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 12:31:14,CWG3213,No,Modify,Yes,0,2,1
01/18/2010 12:31:17,CWG3213,No,Modify,Yes,0,2,1
01/18/2010 12:31:23,CWG3213,No,Read,Yes,0,1,1
01/18/2010 12:32:43,CWG3213,No,Modify,Yes,0,2,1
01/18/2010 12:36:42,CWG3213,No,Modify,Yes,0,2,1
01/18/2010 12:37:53,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 12:37:56,CWG3213,No,Delete,Yes,0,3,1
01/18/2010 12:41:55,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 12:43:25,CWG3213,No,Delete,Yes,0,3,1
01/18/2010 12:45:18,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 13:01:25,CWG3213,Yes,Modify,Yes,1,2,1
01/18/2010 13:02:13,CWG3213,No,Read,Yes,0,1,1
01/18/2010 13:02:44,CWG3213,No,Read,Yes,0,1,1
01/18/2010 13:02:44,CWG3213,No,Read,Yes,0,1,1
01/18/2010 13:04:30,CWG3213,No,Delete,Yes,0,3,1
01/18/2010 13:06:28,CWG3213,No,Modify,Yes,0,2,1
01/18/2010 13:07:50,CWG3213,No,Read,Yes,0,1,1
01/19/2010 14:56:47,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 14:58:45,CWG3213,No,Read,Yes,0,1,1
01/19/2010 15:00:39,CWG3213,No,Modify,Yes,0,2,1
01/19/2010 15:03:02,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 15:05:13,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 15:16:32,CWG3213,Yes,Create,Yes,1,0,1
01/19/2010 15:16:44,CWG3213,Yes,Modify,Yes,1,2,1
01/19/2010 15:22:57,CWG3213,No,Modify,Yes,0,2,1
01/19/2010 15:29:39,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 15:32:31,CWG3213,No,Read,Yes,0,1,1
01/19/2010 18:00:33,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 18:00:33,CWG3213,Yes,Modify,Yes,1,2,1
01/19/2010 18:00:36,CWG3213,Yes,Modify,Yes,1,2,1
01/19/2010 18:14:35,CWG3213,No,Delete,Yes,0,3,1
01/19/2010 18:14:38,CWG3213,No,Modify,Yes,0,2,1
01/19/2010 18:14:40,CWG3213,Yes,Create,Yes,1,0,1
01/19/2010 18:40:10,CWG3213,Yes,Create,Yes,1,0,1
01/19/2010 18:43:06,CWG3213,No,Modify,Yes,0,2,1
01/19/2010 18:44:03,CWG3213,Yes,Create,Yes,1,0,1
01/19/2010 18:44:38,CWG3213,No,Read,Yes,0,1,1
01/19/2010 18:51:54,CWG3213,No,Read,Yes,0,1,1
01/19/2010 18:57:02,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 13:06:02,CWG3213,No,Read,Yes,0,1,1
01/20/2010 13:06:48,CWG3213,No,Delete,Yes,0,3,1
01/20/2010 13:11:09,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 13:12:48,CWG3213,No,Modify,Yes,0,2,1
01/20/2010 13:17:27,CWG3213,No,Delete,Yes,0,3,1
01/20/2010 13:17:43,CWG3213,No,Delete,Yes,0,3,1
01/20/2010 13:18:58,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 14:14:08,CWG3213,No,Modify,Yes,0,2,1
01/20/2010 14:26:14,CWG3213,No,Modify,Yes,0,2,1
01/20/2010 14:26:34,CWG3213,No,Modify,Yes,0,2,1
01/20/2010 14:28:22,CWG3213,No,Read,Yes,0,1,1
01/20/2010 14:30:39,CWG3213,Yes,Create,Yes,1,0,1
01/20/2010 14:31:45,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 14:32:28,CWG3213,No,Delete,Yes,0,3,1
01/20/2010 14:32:31,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 14:35:33,CWG3213,Yes,Modify,Yes,1,2,1
01/20/2010 14:46:51,CWG3213,No,Modify,Yes,0,2,1
